,title,author,overview,genre
0,"Dungeons &amp; Dragons Player's Handbook (Core Rulebook, D&amp;D Roleplaying Game)",Wizards RPG Team,"Create heroic characters for the world’s greatest roleplaying game.   The Player’s Handbook is the essential reference for every Dungeons & Dragons roleplayer. It contains rules for character creation and advancement, backgrounds and skills, exploration and combat, equipment, spells, and much more. Use this book to create characters from among the most iconic D&D races and classes.   Publisher’s Weekly #1 Best Seller in Hardcover Nonfiction  Wall Street Journal #1 Best Seller in Hardcover Nonfiction    • In Dungeons & Dragons, you and your friends coauthor your own legend. Guided by a Dungeon Master, you create characters and play their roles in a story, rolling dice and navigating maps as you unfold a tale as limitless as your imagination.    • The Player’s Handbook is the first of three D&D core rulebooks, along with the Monster Manual and the Dungeon Master’s Guide. The Player’s Handbook is the cornerstone. It’s the foundational text of D&D’s fifth edition—for beginners and for veterans alike.   • The Player’s Handbook walks you through how to create a Dungeons & Dragons character—the role you’ll play in the D&D world.   • Dungeons & Dragons is the world’s greatest roleplaying game. Created in 1974, D&D transformed gaming culture by blending traditional fantasy with miniatures and wargaming.",Activity & Game Books
1,Tasha's Cauldron of Everything (D&amp;D Rules Expansion) (Dungeons &amp; Dragons),Wizards RPG Team,"A magical mixture of rules options for the world's greatest roleplaying game.The wizard Tasha, whose great works include the spell Tasha's hideous laughter, has gathered bits and bobs of precious lore during her illustrious career as an adventurer. Her enemies wouldn't want these treasured secrets scattered across the multiverse, so in defiance, she has collected and codified these tidbits for the enrichment of all. EXPANDED SUBCLASSES. Try out subclass options for every Dungeons & Dragons class, including the artificer, which appears in the book. MORE CHARACTER OPTIONS. Tasha's Cauldron of Everything introduces a host of class features and feats, plus straightforward rules for modifying a character's racial traits and customizing their origin. INTRODUCING GROUP PATRONS. Whether you're part of the same criminal syndicate or working for an ancient dragon, each group patron option comes with its own perks and types of assignments. SPELLS, ARTIFACTS & MAGIC TATTOOS. Discover more spells, as well as magic tattoos, artifacts, and other magic items for your campaign. EXPANDED RULES OPTIONS. Try out rules for sidekicks, supernatural environments, natural hazards, and parleying with monsters, and gain guidance on running a session zero. A PLETHORA OF PUZZLES. Ready to be dropped into any D&D adventure, puzzles of varied difficulty await your adventurers, complete with traps and guidance on using the puzzles in a campaign.Full of expanded content for players and Dungeon Masters alike, this book is a great addition to the Player's Handbook. Baked in you'll find more rule options for all the character classes in the Player's Handbook, including more subclass options. Thrown in for good measure is the artificer class, a master of magical invention. And this witch's brew wouldn't be complete without a dash of added artifacts, spellbook options, spells for both player characters and monsters, magical tattoos, group patrons, and other tasty goodies.",Activity & Game Books
2,"Card Night: Classic Games, Classic Decks, and The History Behind Them",Will Roya,"Learn when to hold 'em and when to fold 'em with Card Night, a collection of 52 classic card games, including rules and strategies. Featuring step-by-step, illustrated instructions, and two indexes that organize each game by difficulty and number of players needed, Card Night includes directions for playing all the most popular card games, including Hearts and Bridge, Rummy and Go Fish. In addition to providing the rules of standard game play, Card Night also details the fascinating stories and peculiarities behind some of the world's most famous card decks, some of which were used as currency, tools for propaganda, and even as a means for sending coded messages. Offering one game for each week of the year, Card Night is the go-to companion for weekly game nights, long car rides, and rainy days spent at home. Wow your friends and family with your game playing prowess and keep them entertained with fascinating details from playing card history.",Activity & Game Books
3,The Queen's Gambit (Television Tie-in),Walter Tevis,"Engaging and fast-paced, this gripping coming-of-age novel of chess, feminism, and addiction speeds to a conclusion as elegant and satisfying as a mate in four. Now a highly acclaimed Netflix series.Eight year-old orphan Beth Harmon is quiet, sullen, and by all appearances unremarkable. That is, until she plays her first game of chess. Her senses grow sharper, her thinking clearer, and for the first time in her life she feels herself fully in control. By the age of sixteen, she’s competing for the U.S. Open championship. But as Beth hones her skills on the professional circuit, the stakes get higher, her isolation grows more frightening, and the thought of escape becomes all the more tempting.",Activity & Game Books
4,The Answer Is...: Reflections on My Life,Alex Trebek,"A RECOMMENDED SUMMER READ BY THE NEW YORK TIMES, USA TODAY, TIME, AND NEWSWEEK  Longtime Jeopardy! host and television icon Alex Trebek reflects on his life and career.Since debuting as the host of Jeopardy! in 1984, Alex Trebek has been something like a family member to millions of television viewers, bringing entertainment and education into their homes five nights a week. Last year, he made the stunning announcement that he had been diagnosed with stage four pancreatic cancer. What followed was an incredible outpouring of love and kindness. Social media was flooded with messages of support, and the Jeopardy! studio received boxes of cards and letters offering guidance, encouragement, and prayers. For over three decades, Trebek had resisted countless appeals to write a book about his life. Yet he was moved so much by all the goodwill, he felt compelled to finally share his story. “I want people to know a little more about the person they have been cheering on for the past year,” he writes in The Answer Is...: Reflections on My Life. The book combines illuminating personal anecdotes with Trebek’s thoughts on a range of topics, including marriage, parenthood, education, success, spirituality, and philanthropy. Trebek also addresses the questions he gets asked most often by Jeopardy! fans, such as what prompted him to shave his signature mustache, his insights on legendary players like Ken Jennings and James Holzhauer, and his opinion of Will Ferrell’s Saturday Night Live impersonation. The book uses a novel structure inspired by Jeopardy!, with each chapter title in the form of a question, and features dozens of never-before-seen photos that candidly capture Trebek over the years. This wise, charming, and inspiring book is further evidence why Trebek has long been considered one of the most beloved and respected figures in entertainment.",Activity & Game Books
5,Guinness World Records 2021,Guinness World Records,"All aboard Guinness World Records 2021 for a life-changing journey of discovery!This year, we're devoting a chapter to the history of exploration, starting with the story of the very first circumnavigation, along with our ""History of Adventure"" timeline, featuring a host of remarkable achievements. The fully revised and updated best-seller is packed with thousands of incredible new feats across the widest spectrum of topics, providing a whistle-stop tour of our superlative universe.Our ever-expanding pool of international consultants and experts help us make sense of the world around us and the cosmos beyond. So join us as we embark on a voyage through the vast panorama of record-breaking in 12 fact-packed chapters:· Travel through the Solar System and see the planets come to life with a free Augmented Reality feature· Encounter the cutest, weirdest, most dangerous and exotic creatures on our home planet· Meet the world’s tallest, shortest, hairiest and heaviest humans· Marvel at the latest high scores, speed runs, and players at the top of their game in eSports and beyond· Get the lowdown on the world’s most successful and prolific actors, musicians, TV stars and influencersWe've also selected the best of the newly approved claims from the 50,000 applications received from the public over the past 12 months. But don't just be a tourist: try some of our specially created try-at-home challenges that could see YOU listed in the world-famous book of records. If you want to be one of those lucky few, check out our Against the Clock chapter--we might even see you in next year's edition!Finally, be inspired by the latest inductees to the Guinness World Records Hall of Fame, including the real-life Captain Nemo who's traveled to the deepest point in every ocean, the fearless campaigner for human rights who risked her life to make the world a better place, and the teenage millionaire who made his fortune playing Fortnite.It's a big world out there! Let Guinness World Records 2021 be your guide!",Activity & Game Books
6,Van Richten's Guide to Ravenloft (Dungeons &amp; Dragons),Wizards RPG Team,"Explore the horrors of Ravenloft in this campaign sourcebook for the world’s greatest roleplaying game. Terror stalks the nightmare realms of Ravenloft. No one knows this better than monster scholar Rudolph Van Richten. To arm a new generation against the creatures of the night, Van Richten has compiled his correspondence and case files into this tome of eerie tales and chilling truths.  • Travel (perhaps even by choice) to Ravenloft's expanded Domains of Dread—each domain with its own unique flavor of horror, thrilling story hooks, and grisly cast of characters  • Craft your own D&D horror settings, add tension with optional rules, and get advice for running a game that's ghastly in all the right ways  • Create characters with lineages tied to vampires, undead, and hags, horror-themed subclasses, the Investigator background, and ""Dark Gifts"" that may be a double-edged sword  • Unleash nightmarish monsters from an expanded bestiary, and browse a collection of mysterious trinkets  • Explore Ravenloft in the included Dungeons & Dragons adventure—play as a stand-alone adventure or drop it into your current game for a bit of sinister fun",Activity & Game Books
7,Candlekeep Mysteries (D&amp;D Adventure Book - Dungeons &amp; Dragons),Wizards RPG Team,"An anthology of seventeen mystery-themed adventures for the world’s greatest roleplaying game.   Candlekeep attracts scholars like a flame attracts moths. Historians, sages, and others who crave knowledge flock to this library fortress to peruse its vast collection of books, scribbled into which are the answers to the mysteries that bedevil them. Many of these books contain their own mysteries ̶—each one a doorway to adventure. Dare you cross that threshold? ·  17 mystery-themed D&D adventures, each tied to a book discovered in the famed library fortress of Candlekeep ·  Easy to run as stand-alone mini adventures or to drop into your home campaign ·  Adventures span play from levels 1 to 16 ·  Includes a full poster map of Candlekeep, plus detailed descriptions of the various locations, characters, and creatures that reside within it ·  Introduces a variety of Dungeons & Dragons monsters, items, and non-player characters (NPCs)Candlekeep Mysteries is a collection of seventeen short, stand-alone D&D adventures designed for characters of levels 1–16. Each adventure begins with the discovery of a book, and each book is the key to a door behind which danger and glory await. These adventures can be run as one-shot games, plugged into an existing Forgotten Realms campaign, or adapted for other campaign settings. This book also includes a poster map of the library fortress and detailed descriptions of Candlekeep and its inhabitants.",Activity & Game Books
8,Apex Legends: Pathfinder's Quest (Lore Book),Respawn Entertainment,"This full-color, oversized hardcover art book delves deep into the lore of the tremendously popular competitive first-person shooter Apex Legends.Explore the world of the hit game through the eyes of the lovable robot, Pathfinder, as he chronicles his journey throughout the various environs of the Outlands to interview his fellow Legends—all in the hope of finally locating his mysterious creator. The rich history of Apex Legends is explained by the characters that helped to shape it, as are their unique bonds of competition and camaraderie. This volume chronicles the world of Respawn Entertainment's stunning free-to-play game that has captivated the online gaming scene, attracting over seventy million players and counting. Don't miss your opportunity to own a piece of Apex Legends history!",Activity & Game Books
9,Disney Dreams Collection Thomas Kinkade Studios Coloring Book,Thomas Kinkade,"Now you can color along with the master, Thomas Kinkade, Painter of Light. And what could be better than coloring these paintings with the timeless magic of classic Disney stories and their captivating characters?In this unique coloring book, sixty-three paintings from Thomas Kinkade's Disney Dreams Collection are presented in color across from the black line art of the same image. Enter the world of the Painter of Light as you create your own renditions of these paintings inspired by classic Disney movies, including The Jungle Book, Lady and the Tramp, Sleeping Beauty, and many more.",Activity & Game Books
