title,author,overview,subject
The Book of Accidents: A Novel,Chuck Wendig,"A family returns to their hometown—and to the dark past that haunts them still—in this masterpiece of literary horror by the New York Times bestselling author of Wanderers“The dread, the scope, the pacing, the turns—I haven’t felt all this so intensely since The Shining.”—Stephen Graham Jones, New York Times bestselling author of The Only Good IndiansLong ago, Nathan lived in a house in the country with his abusive father—and has never told his family what happened there. Long ago, Maddie was a little girl making dolls in her bedroom when she saw something she shouldn’t have—and is trying to remember that lost trauma by making haunting sculptures. Long ago, something sinister, something hungry, walked in the tunnels and the mountains and the coal mines of their hometown in rural Pennsylvania. Now, Nate and Maddie Graves are married, and they have moved back to their hometown with their son, Oliver.  And now what happened long ago is happening again . . . and it is happening to Oliver. He meets a strange boy who becomes his best friend, a boy with secrets of his own and a taste for dark magic. This dark magic puts them at the heart of a battle of good versus evil and a fight for the soul of the family—and perhaps for all of the world. But the Graves family has a secret weapon in this battle: their love for one another.",Horror
The Final Girl Support Group,Grady Hendrix,"THE INSTANT NEW YORK TIMES BESTSELLER“The horror master…puts his unique spin on slasher movie tropes.”-USA TodayA can't-miss summer read, selected by The New York Times, Oprah Daily, Time, USA Today, The Philadelphia Inquirer, CNN, LitHub, BookRiot, Bustle, Popsugar and the New York Public LibraryIn horror movies, the final girls are the ones left standing when the credits roll. They made it through the worst night of their lives…but what happens after?  Like his bestselling novel The Southern Book Club’s Guide to Slaying Vampires, Grady Hendrix’s latest is a fast-paced, frightening, and wickedly humorous thriller. From chain saws to summer camp slayers, The Final Girl Support Group pays tribute to and slyly subverts our most popular horror films—movies like The Texas Chainsaw Massacre, A Nightmare on Elm Street, and Scream.  Lynnette Tarkington is a real-life final girl who survived a massacre. For more than a decade, she’s been meeting with five other final girls and their therapist in a support group for those who survived the unthinkable, working to put their lives back together. Then one woman misses a meeting, and their worst fears are realized—someone knows about the group and is determined to rip their lives apart again, piece by piece.   But the thing about final girls is that no matter how bad the odds, how dark the night, how sharp the knife, they will never, ever give up.",Horror
The Institute: A Novel,Stephen King,"From #1 New York Times bestselling author Stephen King whose “storytelling transcends genre” (Newsday) comes “another winner: creepy and touching and horrifyingly believable” (The Boston Globe) about a group of kids confronting evil.In the middle of the night, in a house on a quiet street in suburban Minneapolis, intruders silently murder Luke Ellis’s parents and load him into a black SUV. The operation takes less than two minutes. Luke will wake up at The Institute, in a room that looks just like his own, except there’s no window. And outside his door are other doors, behind which are other kids with special talents—telekinesis and telepathy—who got to this place the same way Luke did: Kalisha, Nick, George, Iris, and ten-year-old Avery Dixon. They are all in Front Half. Others, Luke learns, graduated to Back Half, “like the roach motel,” Kalisha says. “You check in, but you don’t check out.” In this most sinister of institutions, the director, Mrs. Sigsby, and her staff are ruthlessly dedicated to extracting from these children the force of their extranormal gifts. There are no scruples here. If you go along, you get tokens for the vending machines. If you don’t, punishment is brutal. As each new victim disappears to Back Half, Luke becomes more and more desperate to get out and get help. But no one has ever escaped from the Institute. As psychically terrifying as Firestarter, and with the spectacular kid power of It, The Institute is “first-rate entertainment that has something important to say. We all need to listen” (The Washington Post).",Horror
The Southern Book Club's Guide to Slaying Vampires: A Novel,Grady Hendrix,"The New York Times Best SellerA Barnes & Noble Best Fiction Book of 2020A Goodreads Choice Awards FinalistSteel Magnolias meets Dracula in this '90s-set horror novel about a women's book club that must do battle with a mysterious newcomer to their small Southern town, perfect for murderinos and fans of Stephen King.Bonus features:   • Reading group guide for book clubs   • Hand-drawn map of Mt. Pleasant   • Annotated true-crime reading list by Grady Hendrix   • And more! Patricia Campbell’s life has never felt smaller. Her husband is a workaholic, her teenage kids have their own lives, her senile mother-in-law needs constant care, and she’s always a step behind on her endless to-do list. The only thing keeping her sane is her book club, a close-knit group of Charleston women united by their love of true crime. At these meetings they’re as likely to talk about the Manson family as they are about their own families.One evening after book club, Patricia is viciously attacked by an elderly neighbor, bringing the neighbor's handsome nephew, James Harris, into her life. James is well traveled and well read, and he makes Patricia feel things she hasn’t felt in years. But when children on the other side of town go missing, their deaths written off by local police, Patricia has reason to believe James Harris is more of a Bundy than a Brad Pitt. The real problem? James is a monster of a different kind—and Patricia has already invited him in.  Little by little, James will insinuate himself into Patricia’s life and try to take everything she took for granted—including the book club—but she won’t surrender without a fight in this blood-soaked tale of neighborly kindness gone wrong.",Horror
Lisey's Story,Stephen King,"*Now an Apple TV+ limited series starring Julianne Moore and Clive Owen* The “haunting…tender, intimate book that makes an epic interior journey” (The New York Times), Lisey’s Story is a literary masterpiece—an extraordinarily moving and haunting portrait of a marriage and its aftermath.Lisey lost her husband Scott two years ago, after a twenty-five year marriage of profound and sometimes frightening intimacy. Scott was an award-winning, bestselling novelist and a very complicated man. Early in their relationship, before they married, Lisey knew there was a place Scott went—a place that both terrified and healed him, could eat him alive or give him the ideas he needed in order to live. Now it’s Lisey’s turn to face Scott’s demons, to go to that terrifying place known as Boo’ya Moon. What begins as a widow’s effort to sort through the papers of her celebrated husband becomes a nearly fatal journey into the darkness he inhabited.  “Intricate...exhilarating” (The New Yorker), perhaps Stephen King’s most personal and powerful novel ever, Lisey’s Story is about the wellsprings of creativity, the temptations of madness, and the secret language of love. It is a beautiful, “rich portrait of a marriage, and the complicated affection that outlives death” (The Washington Post).",Horror
Gwendy's Magic Feather,Richard Chizmar,"A USA TODAY BESTSELLER In this thrilling sequel to the New York Times bestselling novella by Stephen King and award-winning author Richard Chizmar, an adult Gwendy is summoned back to Castle Rock after the mysterious reappearance of the button box. Something evil has swept into the small Maine town of Castle Rock on the heels of the latest winter storm. Sheriff Norris Ridgewick and his team are desperately searching for two missing girls, but time is running out. In Washington, DC, thirty-seven-year-old Gwendy Peterson couldn’t be more different from the self-conscious teenaged girl who once spent a summer running up Castle Rock’s Suicide Stairs. That same summer, she had been entrusted—or some might say cursed—with the extraordinary button box by Richard Farris, the mysterious stranger in the black suit. The seductive and powerful box offered Gwendy small gifts in exchange for its care and feeding until Farris eventually returned, promising the young girl she’d never see the box again. One day, though, the button box suddenly reappears but this time, without Richard Farris to explain why, or what she’s supposed to do with it. Between this and the troubling disappearances back in Castle Rock, Gwendy decides to return home. She just might be able to help rescue the missing girls and stop a dangerous madman before he does something ghastly. With breathtaking and lyrical prose, Gwendy’s Magic Feather explores whether our lives are controlled by fate or the choices we make and what price we sometimes have to pay. Prepare to return again to Stephen King’s Castle Rock, the sleepy little town built on a bedrock of deep, dark secrets, just as it’s about to awaken from its quiet slumber once more.",Horror
Stranger in Town (Sloane Monroe Series #4),Cheryl Bradshaw,"A Shamus Award finalist for best PI novel.  ""A twisted mystery with surprising twists and a fascinating premise."" -Sheila Deeth, Vine Voice  A frantic mother runs up and down the aisles of Maybelle's Market, desperately searching for her missing daughter. But she's far too late. Six-year-old Olivia is already gone, already in the arms of a stranger. Will private investigator Sloane Monroe find her before it's too late? Like stories that keep you guessing? You'll be up all night with this New York Times and USA Today best selling mystery series. ""Page-turning from the first chapter to the last, Stranger in Town brings fiction to the edge of reality."" -Chris Blewitt, Bestselling Author of The Lost Journal ""Great story. Bradshaw has put together a first-class tale."" - Warren A. Lewis, Top Fiction Contributor ""Hard to put down from the intriguing first chapter to the spine-tingling conclusion."" - Laurie Hanan, Top Fiction Contributor ""A female PI that's real, interesting, and individual."" - Gerry McCullough, #1 Bestselling Author of Belfast GirlsBook series in order by Cheryl Bradshaw  Addison Lockhart Ghost Mystery Series1. Grayson Manor Haunting2. Rosecliff Manor Haunting3. Blackthorn Manor Haunting4. Belle Manor Haunting - Coming Fall 2019  Sloane Monroe Mystery/Thriller Series1. Black Diamond Death2. Murder in Mind3. I Have a Secret4. Stranger in Town - Shamus Award Finalist 5. Bed of Bones - USA Today Bestseller6. Hush Now Baby - USA Today Bestseller7. Gone Daddy Gone - USA Today Bestseller8. Smoke and Mirrors - August 2019 New Release!   Sloane Monroe Stories - Mystery Novella Series1. Deadly Sins: Sloth2. Deadly Sins: Wrath 3. Deadly Sins: Lust - New Release! Stand Alone Mystery/Thriller Novels1. Eye for Revenge - USA Today Bestseller2. The Perfect Lie3. Hickory Dickory Dead - USA Today Bestseller4. Roadkill - New Release! - USA Today Bestseller",Horror
Secrets of the Greek Revival: Paranormal Women's Fiction,Eva Pohler,"Like Nancy Drew meets The Golden Girls!Ellen and her two best friends share a mid-life crisis by hatching a plan to renovate an 1860's Greek revival in the nearby historic district of San Antonio. Although Ellen isn't one to believe in ghosts, she comes face to face with something inexplicable in the attic.Her ghost-enthusiast friends convince her that they must help the spirit find closure, and as they dig deeper into the past, they uncover a shocking history that someone in the neighborhood doesn't want exposed. But Ellen and her friends don't give up easily. They realize they've been called to give voice to the invisible women who suffered behind the walls of the house for decades.""Slightly wacky ladies, humor & good intentions result in a very interesting story. I've already ordered the second one in the series.""--Lynne J. Condon ★★★★★""They begin a dangerous quest digging into the real history behind the Gold House. What they find will blow your mind! My heart was racing throughout this entire book. If you believe in ghosts or even if you don't, I suggest reading by a lamp. I jumped several times as if a movie were playing inside my mind. . . . The three women in this book are wonderful. This is definitely a must-read. 5 stars for Eva! Well done!!""--Book Lover Reviews ★★★★★""I chose this book to read because I had an awful cold and figured that if I wasn't impressed, I'd just skip finishing it! Boy was I wrong! It was really good! Even when my eyes said they were tired and should be resting, my mind said you gotta keep going. It was a real treat!""--Lynn Reener ★★★★★""This captivating tale of three friends setting out to renovate and flip a house is definitely not your average haunted house story. The three lead characters and all the other people in this story (whether major players or merely peripheral persons) are so carefully crafted with their own unique personalities and attributes that they spring to life in the reader's mind. The story, itself, is mesmerizing with all the back-story details of the characters' lives and especially with the convoluted and macabre history of The Gold House (the house purchased by our leading ladies). This is one of those stories that is achingly hard to put down when bedtime rolls around or something requires your immediate attention. It really is that good.""--txdoc, Goodreads Reviewer ★★★★★""This is my first experience with author Eva Pohler and I can't believe I haven't read anything of hers before! Loved the book and I'll be checking out more in this series.""--The Novel Lady ★★★★★""Loved reading this book. So sad that there were people mistreated in our former days. These types of retreats or rest care facilities actually used to operate in the US for many years. Some state owned too. IN The 70 ALL were shut down. THE GHOST that haunted the house and her ancestors first tells a telling tale about what happened inside the walls of the house three women buy and restore to its former glory.""--Cozy Mystery Reader ★★★★★""This is a real page turner. Riviting, and exciting. The characters are very well written, its easy to read and you won't want to put it down.""--Southermermaid85, Goodreads Reviewer ★★★★★""Secrets of the Greek Revival sent a rollercoaster of emotions throughout this story. I couldn't put this one down. If you are looking for a great read then this is your book. I seriously didn't know what was coming next. As I don't like to give away spoilers, and believe me you would not want me to, I will however tell you that I enjoyed this book so much I kept,switching from reading to audio so I could enjoy while driving to and from work.""--Denise M. ★★★★★Grab your copy to begin this ghostly adventure today!",Horror
Strangers: A Psychological Thriller,Dean Koontz,"“The plot twists ingeniously...an engaging, often chilling book.”—The New York Times Book Review   A writer in California. A doctor in Boston. A motel owner and his employee in Nevada. A priest in Chicago. A robber in New York. A little girl in Las Vegas. They’re a handful of people from across the country, living through eerie variations of the same nightmare.     A dark memory is calling out to them. And soon they will be drawn together, deep in the heart of a sprawling desert, where the terrifying truth awaits...",Horror
Mexican Gothic,Silvia Moreno-Garcia,"NEW YORK TIMES BESTSELLER • “It’s Lovecraft meets the Brontës in Latin America, and after a slow-burn start Mexican Gothic gets seriously weird.”—The Guardian IN DEVELOPMENT AS A HULU ORIGINAL LIMITED SERIES PRODUCED BY KELLY RIPA AND MARK CONSUELOS • WINNER OF THE LOCUS AWARD •  NOMINATED FOR THE BRAM STOKER AWARD • NAMED ONE OF THE BEST BOOKS OF THE YEAR BY The New Yorker • Vanity Fair • NPR • The Washington Post • Tordotcom • Marie Claire • Vox • Mashable • Men’s Health • Library Journal • Book Riot • LibraryReads An isolated mansion. A chillingly charismatic aristocrat. And a brave socialite drawn to expose their treacherous secrets. . . . From the author of Gods of Jade and Shadow comes “a terrifying twist on classic gothic horror” (Kirkus Reviews) set in glamorous 1950s Mexico.After receiving a frantic letter from her newly-wed cousin begging for someone to save her from a mysterious doom, Noemí Taboada heads to High Place, a distant house in the Mexican countryside. She’s not sure what she will find—her cousin’s husband, a handsome Englishman, is a stranger, and Noemí knows little about the region.    Noemí is also an unlikely rescuer: She’s a glamorous debutante, and her chic gowns and perfect red lipstick are more suited for cocktail parties than amateur sleuthing. But she’s also tough and smart, with an indomitable will, and she is not afraid: Not of her cousin’s new husband, who is both menacing and alluring; not of his father, the ancient patriarch who seems to be fascinated by Noemí; and not even of the house itself, which begins to invade Noemi’s dreams with visions of blood and doom. Her only ally in this inhospitable abode is the family’s youngest son. Shy and gentle, he seems to want to help Noemí, but might also be hiding dark knowledge of his family’s past. For there are many secrets behind the walls of High Place. The family’s once colossal wealth and faded mining empire kept them from prying eyes, but as Noemí digs deeper she unearths stories of violence and madness.  And Noemí, mesmerized by the terrifying yet seductive world of High Place, may soon find it impossible to ever leave this enigmatic house behind.“It’s as if a supernatural power compels us to turn the pages of the gripping Mexican Gothic.”—The Washington Post“Mexican Gothic is the perfect summer horror read, and marks Moreno-Garcia with her hypnotic and engaging prose as one of the genre’s most exciting talents.”—Nerdist“A period thriller as rich in suspense as it is in lush ’50s atmosphere.”—Entertainment Weekly",Horror
