title,author,overview,subject
A Terrible Fall of Angels,Laurell K. Hamilton,"Angels walk among us, but so do other unearthly beings in this brand new series by #1 New York Times Bestselling author Laurell K. Hamilton. Meet Detective Zaniel Havelock, a man with the special ability to communicate directly with angels. A former trained Angel speaker, he devoted his life to serving both the celestial beings and his fellow humans with his gift, but a terrible betrayal compelled him to leave that life behind. Now he’s a cop who is still working on the side of angels. But where there are angels, there are also demons. There’s no question that there’s evil at work when he’s called in to examine the murder scene of a college student—but is it just the evil that one human being can do to another, or is it something more? When demonic possession is a possibility, even angelic protection can only go so far. The race is on to stop a killer before he finds his next victim, as Zaniel is forced to confront his own very personal demons, and the past he never truly left behind. The first in a new series from the author of the Anita Blake and Merry Gentry series.",Science Fiction & Fantasy
King Bullet (Sandman Slim Series #12),Richard Kadrey,"The incredible finale of the page-turning, high-octane Sandman Slim series filled with an explosive ending and intense kick-ass action from New York Times bestselling author Richard Kadrey.It’s been three months since Stark stopped a death cult and a potential ghost apocalypse, and he’s at loose ends. His personal life is a mess. His professional life isn’t much better. And the world…well, the world is going to shit. L.A. is gripped by a viral epidemic that has everyone wearing masks and keeping their distance from each other. But what’s even more frightening is the Shoggot gang and their leader, King Bullet, who revels in the city’s collapse. Who is King Bullet? No one knows. He seemingly came from nowhere with nothing but a taste for mayhem and an army of crazed killers who follow his every command. What king wants seems simple on it face: Chaos. Destruction. A city in flames. But there’s more to the king and his plans for L.A. and what Stark discovers will change Heaven, Earth, and Stark himself forever.",Science Fiction & Fantasy
Paper &amp; Blood (Ink &amp; Sigil Series #2),Kevin Hearne,"From the New York Times bestselling author of The Iron Druid Chronicles comes book two of an “action-packed, enchantingly fun” (Booklist) spin-off series, as an eccentric master of rare magic solves a supernatural mystery Down Under!There’s only one Al MacBharrais: Though other Scotsmen may have dramatic mustaches and a taste for fancy cocktails, Al also has a unique talent. He’s a master of ink and sigil magic. In his gifted hands, paper and pen can work wondrous spells. But Al isn’t quite alone: He is part of a global network of sigil agents who use their powers to protect the world from mischievous gods and strange monsters. So when a fellow agent disappears under sinister circumstances in Australia, Al leaves behind the cozy pubs and cafes of Glasgow and travels to the Dandenong Ranges in Victoria to solve the mystery.The trail to his colleague begins to pile up with bodies at alarming speed, so Al is grateful his friends have come to help—especially Nadia, his accountant who moonlights as a pit fighter. Together with a whisky-loving hobgoblin known as Buck Foi and the ancient Druid Atticus O’Sullivan, along with his dogs, Oberon and Starbuck, Al and Nadia will face down the wildest wonders Australia—and the supernatural world—can throw at them, and confront a legendary monster not seen in centuries.",Science Fiction & Fantasy
Starlight Enclave (Signed Book),R. A. Salvatore,"From New York Times bestselling author R. A. Salvatore comes a new trilogy and adventure of Drizzt and fantasy’s beloved characters from Dungeons & Dragons’ Forgotten Realms.After the settling dust of the demon uprising and two years of peace, rumblings from the Menzoberranzan drow have Jarlaxle nervous. Worried his allies may be pulled into a Civil War between the great Houses, he is eager to ensure Zaknafein is armed with weapons befitting his skill, including one in particular: Khazid’hea. A powerful artifact, the sword known as “Cutter” has started wars, corrupted its users, and spilled the blood of many, many people. Nonetheless—or maybe because of that—the rogue Jarlaxle and a small group of friends will go on an expedition looking for the weapon’s last wielder, Doum’wielle, in the freezing north, for she may be the key to unlocking the sword’s potential…and perhaps the key to preventing the bloodshed looming over the Underdark.  And as they explore the top of the world, Drizzt is on a journey of his own—both spiritual and physical. He wants to introduce his daughter Brie to Grandmaster Kane and the practices that have been so central to his beliefs. But, having only recently come back from true transcendence, the drow ranger is no longer sure what his beliefs mean anymore. He is on a path to determining the future, not just for his family, but perhaps the entire northlands of the Realms themselves. Two different roads. On one, Jarlaxle and Zaknefein are on a quest to find pieces that could offer salvation to Menzoberranzan. On the other, Drizzt seeks answers that could offer salvation to not just his soul, but all souls.  And no matter the outcome of either journey, the Realms will never be the same again.",Science Fiction & Fantasy
The Hidden Palace: A Novel of the Golem and the Jinni,Helene Wecker,"""Richly nuanced and beautiful. . . . An immersive and magical tale of loneliness, love, and finding hope.” (Buzzfeed)“A layered novel of many complex characters…To keep their worlds safe, Chava and Ahmad must access both their greatest supernatural powers and their deepest human impulses.” (Historical Novels Review) In this enthralling historical epic, set in New York City and the Middle East in the years leading to World War I— the long-awaited follow-up to the acclaimed New York Times bestseller The Golem and the Jinni—Helene Wecker revisits her beloved characters Chava and Ahmad as they confront unexpected new challenges in a rapidly changing human world.Chava is a golem, a woman made of clay, who can hear the thoughts and longings of those around her and feels compelled by her nature to help them. Ahmad is a jinni, a restless creature of fire, once free to roam the desert but now imprisoned in the shape of a man. Fearing they’ll be exposed as monsters, these magical beings hide their true selves and try to pass as human—just two more immigrants in the bustling world of 1900s Manhattan. Brought together under calamitous circumstances, their lives are now entwined—but they’re not yet certain of what they mean to each other.Both Chava and Ahmad have changed the lives of the people around them. Park Avenue heiress Sophia Winston, whose brief encounter with Ahmad left her with a strange illness that makes her shiver with cold, travels to the Middle East to seek a cure. There she meets Dima, a tempestuous female jinni who’s been banished from her tribe. Back in New York, in a tenement on the Lower East Side, a little girl named Kreindel helps her rabbi father build a golem they name Yossele—not knowing that she’s about to be sent to an orphanage uptown, where the hulking Yossele will become her only friend and protector.Spanning the tumultuous years from the turn of the twentieth century to the beginning of World War I, The Hidden Palace follows these lives and others as they collide and interleave. Can Chava and Ahmad find their places in the human world while remaining true to each other? Or will their opposing natures and desires eventually tear them apart—especially once they encounter, thrillingly, other beings like themselves?",Science Fiction & Fantasy
Merely Magic: Magical Malcolms Book #1,Patricia Rice,"""Patricia Rice employs wicked wit and sizzling sensuality to turn the battle of the sexes into a magical romp."" -Mary Jo tselling authorCan a cynical scientist and an illogical enchantress find happiness?Lady Ninian Malcolm Siddons, a healer and herbalist, has dedicated her life to the welfare of her ancestral Northumberland village. Both her class and calling have isolated her from companionship and love. But according to legend, her beloved village cannot thrive without a magical Malcolm in residence.Drogo Ives, Earl of Ives and Wystan, cares only for honor, science, and reason--unlike his unruly brothers and the illogical and untrustworthy female of the species. Love and marriage are two unknowns he has no desire to explore.  His married brother can inherit. But fate and Drogo's meddling stepsister bring Drogo and Ninian together for one night...with shattering consequences. Having dealt with the inconvenient result of his father's bastards, Drogo has vowed to marry any woman who carries his child—and now the irresistible Ninian does. Only, the last time a Malcolm married an Ives, disaster destroyed Wystan and both their families. With all the odds against them, can they find a place where science and mystery meet, and build a bridge into a future where love saves both their families and their homes?MAGICAL MALCOLM SERIES IN ORDERMerely MagicMust Be MagicTrouble With MagicThis Magic MomentMuch Ado About MagicMagic Man",Science Fiction & Fantasy
Million Dollar Demon,Kim Harrison,"To save the city, Rachel Morgan will need to show some teeth in the next Hollows novel from #1 New York Times bestselling author Kim Harrison.The new master vampire of Cincinnati has arrived . . . and she wants Rachel Morgan out. No matter where Rachel goes, Constance is there—threatening Rachel's allies, causing city-wide chaos, and, to add insult to injury, even forcing Rachel out of her current quarters. Ever since Rachel found a way to save the souls of vampires, the old undead's longtime ascendancy has been broken. Now Constance sees eliminating Rachel as the key to consolidating her own power. Rachel has no desire to be enthralled or killed—and she's terrified of what may become of the city if Constance forces a return to the ancient ways. But even a witch-born demon can't stand against the old undead—at least, not alone. And if Rachel refuses to claim the role of Cincinnati's master demon, the city will tear itself apart, taking her and all those who stand beside her with it.",Science Fiction & Fantasy
The Rising Storm (B&amp;N Exclusive Edition) (Star Wars: The High Republic),Cavan Scott,"This B&N exclusive edition includes a double-sided mini-poster featuring early High Republic concept art.The heroes of the High Republic era return to face a shattered peace and a fearsome foe, following the dramatic events of Light of the Jedi.In the wake of the Great Hyperspace Disaster and the heroism of the Jedi, the Republic continues to grow, bringing more worlds together under a single unified banner. Under the leadership of Chancellor Lina Soh, the spirit of unity extends throughout the galaxy, with the Jedi and the newly established Starlight Beacon station at the vanguard. In celebration, the chancellor plans The Republic Fair, a showcase of the possibilities and the peace of the expanding Republic—a peace the Jedi hope to foster. Stellan Gios, Bell Zettifar, Elzar Mann, and others join the event as ambassadors of harmony. But as the eyes of the galaxy turn toward the Fair, so too does the fury of the Nihil. Their leader, Marchion Ro, is intent on destroying this unity. His storm descends on the pageantry and celebration, sowing chaos and exacting revenge. As the Jedi struggle to curb the carnage of the rampaging Nihil, they come face-to-face with the true fear their enemy plans to unleash across the galaxy—the kind of fear from which even the Force cannot shield them.",Science Fiction & Fantasy
She Who Became the Sun,Shelley Parker-Chan,"A “Most Anticipated” Book From:OPRAH MAG | MS. MAGAZINE | REAL SIMPLE | USA TODAY | BUZZFEED | BUSTLE | BOOKPAGE | GOODREADS | LAMBDA LITERARY | BOOK RIOT | POPSUGAR | WE ARE BOOKISH | TOR.COM | POLYGON | CULTURESS | GEEK TYRANT | CULTURED VULTURES | THE NERD DAILY | Boston's NPR, WGBH | FANTASY CAFE, and moreMulan meets The Song of Achilles in Shelley Parker-Chan's She Who Became the Sun, a bold, queer, and lyrical reimagining of the rise of the founding emperor of the Ming Dynasty from an amazing new voice in literary fantasy.To possess the Mandate of Heaven, the female monk Zhu will do anything“I refuse to be nothing…”In a famine-stricken village on a dusty yellow plain, two children are given two fates. A boy, greatness. A girl, nothingness…In 1345, China lies under harsh Mongol rule. For the starving peasants of the Central Plains, greatness is something found only in stories. When the Zhu family’s eighth-born son, Zhu Chongba, is given a fate of greatness, everyone is mystified as to how it will come to pass. The fate of nothingness received by the family’s clever and capable second daughter, on the other hand, is only as expected.When a bandit attack orphans the two children, though, it is Zhu Chongba who succumbs to despair and dies. Desperate to escape her own fated death, the girl uses her brother's identity to enter a monastery as a young male novice. There, propelled by her burning desire to survive, Zhu learns she is capable of doing whatever it takes, no matter how callous, to stay hidden from her fate.After her sanctuary is destroyed for supporting the rebellion against Mongol rule, Zhu takes the chance to claim another future altogether: her brother's abandoned greatness.",Science Fiction & Fantasy
Nobody's Ghoul,Devon Monk,"Police Chief Delaney Reed can handle supernatural disasters. With gods vacationing in her little town of Ordinary, Oregon, and monsters living alongside humans, she's had plenty of practice. But trying to handle something so normal, so average, so very ordinary as planning her own wedding to the man she loves? Delaney is totally out of her depth.When a car falls out of the sky and lands on the beach, Delaney is more than happy to push guest lists and venue dates out of her mind. The car appears empty, but someone has slipped into Ordinary with stolen weapons from the gods. Someone who has the ability to look like any god, monster, or human in town. Someone who might set off a supernatural disaster even Delaney can't handle.",Science Fiction & Fantasy
