title,author,overview,subject
Black Ice (Signed Book) (Scot Harvath Series #20),Brad Thor,"The new Cold War is about to go hot. #1 New York Times, #1 Wall Street Journal, and #1 Publishers Weekly bestselling author Brad Thor is back with his most intense thriller yet.Scot Harvath is having his best summer ever. With a cottage on the fjord, a boat, and his beautiful girlfriend Sølvi, he’s got everything he could possibly want. But out of vacation days and long overdue back home, America’s top spy has a decision to make—return, or submit his resignation.  When his deadly past comes calling, though, he’ll be left with no choice at all.  Leaving his favorite Oslo café, Harvath watches as a ghost climbs out of a taxi—a man he killed years ago, halfway around the world. How is he still alive? And what is he doing in Norway? In a race against time that will take him high above the Arctic Circle, Harvath will be tested in ways he has never imagined and pushed to a limit few human beings could ever endure.  If he succeeds, he’ll walk away with everything. If he fails, the United States and its allies will be at the mercy of one of the world’s most dangerous actors.",General Fiction
False Witness (B&amp;N Exclusive Edition),Karin Slaughter,"This Barnes and Noble Exclusive Edition includes a Q&A with author, Karin Slaughter, on her inspiration for the book and a few hints for the future!He saw what you did. He knows who you are…From the New York Times bestselling author of Pieces of Her and The Silent Wife, an electrifying standalone thriller.AN ORDINARY LIFE…Leigh Collier has worked hard to build what looks like a normal life.  She’s an up-and-coming defense attorney at a prestigious law firm in Atlanta, would do anything for her sixteen-year-old daughter Maddy, and is managing to successfully co-parent through a pandemic after an amicable separation from her husband Walter. HIDES A DEVASTATING PAST...But Leigh’s ordinary life masks a childhood no one should have to endure … a childhood tarnished by secrets, broken by betrayal, and ultimately destroyed by a brutal act of violence. BUT NOW THE PAST IS CATCHING UP…On a Sunday night at her daughter’s school play, she gets a call from one of the partners who wants Leigh to come on board to defend a wealthy man accused of multiple counts of rape. Though wary of the case, it becomes apparent she doesn't have much choice if she wants to keep her job. They go to trial in one week. When she meets the accused face-to-face, she realizes that it’s no coincidence that he’s specifically asked for her to represent him.  She knows him.  And he knows her.  More to the point, he may know what happened over twenty years ago, and why Leigh has spent two decades avoiding her past.   AND TIME IS RUNNING OUT.Suddenly she has a lot more to lose than this case.  The only person who can help is her younger, estranged sister Callie, the last person Leigh would ever want to drag into this after all they’ve been through.  But with the life-shattering truth in danger of being revealed, she has no choice...",General Fiction
The Paper Palace (Barnes &amp; Noble Book Club Pick),Miranda Cowley Heller,"REESE'S BOOK CLUB PICK  INSTANT #1 NEW YORK TIMES BESTSELLER THE PAPER PALACE IS:  “Filled with secrets, love, lies and a summer beach house. What more could you ask?”—Parade  “A deeply emotional love story…the unraveling of secrets, lies and a very complex love triangle.” —Reese Witherspoon (Reese’s Book Club July ’21 Pick) ""Nail-biting."" —Town & Country  “A magnificent page-turner.” —Cynthia D’Aprix Sweeney, New York Times bestselling author   ""Beguiling.""—Vogue, The Best Books to Read This Summer A story of summer, secrets, love, and lies: in the course of a singular day on Cape Cod, one woman must make a life-changing decision that has been brewing for decades.“This house, this place, knows all my secrets.” It is a perfect July morning, and Elle, a fifty-year-old happily married mother of three, awakens at “The Paper Palace”—the family summer place which she has visited every summer of her life. But this morning is different: last night Elle and her oldest friend Jonas crept out the back door into the darkness and had sex with each other for the first time, all while their spouses chatted away inside. Now, over the next twenty-four hours, Elle will have to decide between the life she has made with her genuinely beloved husband, Peter, and the life she always imagined she would have had with her childhood love, Jonas, if a tragic event hadn’t forever changed the course of their lives. As Heller colors in the experiences that have led Elle to this day, we arrive at her ultimate decision with all its complexity. Tender yet devastating, The Paper Palace considers the tensions between desire and dignity, the legacies of abuse, and the crimes and misdemeanors of families.",General Fiction
The Cellist (Gabriel Allon Series #21),Daniel Silva,"From Daniel Silva, the internationally acclaimed #1 New York Times bestselling author, comes a timely and explosive new thriller featuring art restorer and legendary spy Gabriel Allon. Viktor Orlov had a longstanding appointment with death. Once Russia’s richest man, he now resides in splendid exile in London, where he has waged a tireless crusade against the authoritarian kleptocrats who have seized control of the Kremlin. His mansion in Chelsea’s exclusive Cheyne Walk is one of the most heavily protected private dwellings in London. Yet somehow, on a rainy summer evening, in the midst of a global pandemic, Russia’s vengeful president finally manages to cross Orlov’s name off his kill list.Before him was the receiver from his landline telephone, a half-drunk glass of red wine, and a stack of documents.…The documents are contaminated with a deadly nerve agent. The Metropolitan Police determine that they were delivered to Orlov’s home by one of his employees, a prominent investigative reporter from the anti-Kremlin Moskovskaya Gazeta. And when the reporter slips from London hours after the killing, MI6 concludes she is a Moscow Center assassin who has cunningly penetrated Orlov’s formidable defenses.But Gabriel Allon, who owes his very life to Viktor Orlov, believes his friends in British intelligence are dangerously mistaken. His desperate search for the truth will take him from London to Amsterdam and eventually to Geneva, where a private intelligence service controlled by a childhood friend of the Russian president is using KGB-style “active measures” to undermine the West from within. Known as the Haydn Group, the unit is plotting an unspeakable act of violence that will plunge an already divided America into chaos and leave Russia unchallenged. Only Gabriel Allon, with the help of a brilliant young woman employed by the world’s dirtiest bank, can stop it.Elegant and sophisticated, provocative and daring, The Cellist explores one of the preeminent threats facing the West today—the corrupting influence of dirty money wielded by a revanchist and reckless Russia. It is at once a novel of hope and a stark warning about the fragile state of democracy. And it proves once again why Daniel Silva is regarded as his generation’s finest writer of suspense and international intrigue.",General Fiction
The Other Passenger,Louise Candlish,"One of CrimeReads’s Most Anticipated Crime Books of 2021 Longlisted for the Theakston Old Peculier 2021 Crime Novel of the Year  The “queen of the sucker-punch twist” (Ruth Ware, #1 New York Times bestselling author) and author of Our House weaves an unputdownable page-turner about a commuter who becomes a suspect in his friend’s mysterious disappearance. It all happens so quickly. One day you’re living the dream, commuting to work by ferry with your charismatic neighbor Kit in the seat beside you. The next, Kit hasn’t turned up for the boat and his wife, Melia, has reported him missing. When you get off at your stop, the police are waiting. Another passenger saw you and Kit arguing on the boat home the night before and the police say that you had a reason to want him dead. You protest. You and Kit are friends—ask Melia, she’ll vouch for you. And who exactly is this other passenger pointing the finger? What do they know about your lives? No, whatever danger followed you home last night, you are innocent, totally innocent. Aren’t you?",General Fiction
Falling,T. J. Newman,"#1 NATIONAL BESTSELLER * INSTANT NEW YORK TIMES BESTSELLER  “T. J. Newman has written the perfect thriller! A must-read.” —Gillian Flynn “Stunning and relentless. This is Jaws at 35,000 feet.” —Don Winslow “Falling is the best kind of thriller…Nonstop, totally authentic suspense.” —James Patterson “Amazing...Intense suspense, shocks, and scares...Chilling.” —Lee ChildYou just boarded a flight to New York. There are one hundred and forty-three other passengers onboard.  What you don’t know is that thirty minutes before the flight your pilot’s family was kidnapped.  For his family to live, everyone on your plane must die.  The only way the family will survive is if the pilot follows his orders and crashes the plane.  Enjoy the flight.",General Fiction
The Book of Accidents (Signed Book),Chuck Wendig,"A family returns to their hometown—and to the dark past that haunts them still—in this masterpiece of literary horror by the New York Times bestselling author of WanderersLong ago, Nathan lived in a house in the country with his abusive father—and has never told his family what happened there. Long ago, Maddie was a little girl making dolls in her bedroom when she saw something she shouldn’t have—and is trying to remember that lost trauma by making haunting sculptures. Long ago, something sinister, something hungry, walked in the tunnels and the mountains and the coal mines of their hometown in rural Pennsylvania. Now, Nate and Maddie Graves are married, and they have moved back to their hometown with their son, Oliver.  And now what happened long ago is happening again . . . and it is happening to Oliver. He meets a strange boy who becomes his best friend, a boy with secrets of his own and a taste for dark magic. This dark magic puts them at the heart of a battle of good versus evil and a fight for the soul of the family—and perhaps for all of the world. But the Graves family has a secret weapon in this battle: their love for one another.",General Fiction
Nine Lives: A Novel,Danielle Steel,"A woman who longs to avoid risk at all cost learns that men who love danger are the most exciting in this moving novel from New York Times bestselling author Danielle Steel.After a carefree childhood, Mary Margaret Kelly came of age in the shadow of grief. Her father, a dashing daredevil Air Force pilot, died when she was nine. Maggie saw her mother struggle to put their lives back together. As the family moved from one city to the next, her mother warned her to beware of daredevil men and avoid risk at all cost. Following her mother’s advice, and forgoing the magic of first love with a high school boyfriend who was too wild to feel safe, Maggie instead sought out all the things her mother had lost—a predictable partner, a stable home, and a regular paycheck. She chose to marry a dependable, kind man who was a reliable husband and successful accountant. Together they had a son and found happiness in a conventional suburban life. Until tragedy struck again. Now on her own, feeling a sense of adventure for the first time, Maggie decides to face her fears, setting off on a whirlwind trip from San Francisco to Rome, Paris, and Monaco. But when her travels reconnect her with the very same irresistible, thrill-seeking man she’s spent thirty years trying to forget, Maggie becomes terrified that rushing into love and sharing his life may very well end in disaster. But ultimately, while Maggie tries to outrun her fears and painful memories of her past, fate will surprise her in the most astounding of ways, as she walks the tightrope between danger and courage, and between wisdom and love.",General Fiction
When She Was Good,Michael Robotham,"From the bestselling author of Good Girl, Bad Girl and When You Are Mine comes a gripping thriller featuring the brilliant forensic psychologist Cyrus Haven as he becomes embroiled in an explosive murder case with disturbing origins.Criminal psychologist Cyrus Haven and Evie Cormac return in this “powerhouse of a novel” (Booklist, starred review) from internationally bestselling author Michael Robotham, a writer Stephen King calls “an absolute master...with heart and soul.” Who is Evie, the girl with no past, running from? She was discovered hiding in a secret room in the aftermath of a terrible crime. Her ability to tell when someone is lying helped Cyrus crack an impenetrable case in Good Girl, Bad Girl. Now, the closer Cyrus gets to uncovering answers about Evie’s dark history, the more he exposes Evie to danger, giving her no choice but to run. Ultimately, both will have to decide if some secrets are better left buried and some monsters should never be named...",General Fiction
The Final Girl Support Group,Grady Hendrix,"“The horror master…puts his unique spin on slasher movie tropes.”-USA TodayA can't-miss summer read, selected by The New York Times, Oprah Daily, Time, USA Today, The Philadelphia Inquirer, CNN, LitHub, BookRiot, Bustle, Popsugar and the New York Public LibraryIn horror movies, the final girls are the ones left standing when the credits roll. They made it through the worst night of their lives…but what happens after?  Like his bestselling novel The Southern Book Club’s Guide to Slaying Vampires, Grady Hendrix’s latest is a fast-paced, frightening, and wickedly humorous thriller. From chain saws to summer camp slayers, The Final Girl Support Group pays tribute to and slyly subverts our most popular horror films—movies like The Texas Chainsaw Massacre, A Nightmare on Elm Street, and Scream.  Lynnette Tarkington is a real-life final girl who survived a massacre. For more than a decade, she’s been meeting with five other final girls and their therapist in a support group for those who survived the unthinkable, working to put their lives back together. Then one woman misses a meeting, and their worst fears are realized—someone knows about the group and is determined to rip their lives apart again, piece by piece.   But the thing about final girls is that no matter how bad the odds, how dark the night, how sharp the knife, they will never, ever give up.",General Fiction
